Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
70	6878.8994	90.33133	7008.497	6725.8774	7928.7607	83.14542	8062.8994	7804.7036	1000.0	1000.0	349999	435.42365	128.58113	565.25793	-171.39421	435.42334	128.57968	564.8224	-165.81076	435.42343	128.57974	565.6555	-176.98993	-437.77655	69.62547	1740.719880580902	24.867426889283315
71	6975.4424	146.31152	7149.6704	6735.3784	6721.164	62.939056	6831.2686	6593.5557	1000.0	1000.0	354999	437.36087	129.1709	566.33594	-149.11473	437.3613	129.16754	567.53644	-149.74117	437.36118	129.16827	569.4623	-160.68616	-439.73615	69.93364	1765.6410069465637	24.86818322329454
72	6950.7773	93.55581	7078.7163	6814.74	7736.4834	54.22778	7825.394	7658.48	1000.0	1000.0	359999	439.9618	129.06366	567.6035	-168.33035	439.96194	129.06213	571.0169	-173.72191	439.96164	129.06235	570.0928	-174.95123	-442.49756	70.63706	1790.8787169456482	24.873315542936325
73	6996.078	104.753975	7093.554	6804.5605	7095.013	66.141655	7200.3853	6962.8584	1000.0	1000.0	364999	442.4542	129.1443	569.7807	-171.54703	442.45438	129.14082	570.9308	-187.5243	442.45377	129.14284	569.87744	-173.0846	-445.0422	70.91545	1816.062621831894	24.877570188208804
74	7129.591	75.94287	7214.1514	7002.7847	7187.507	58.01098	7271.909	7088.2407	1000.0	1000.0	369999	445.02097	129.0194	573.23676	-167.28697	445.02045	129.0187	575.56647	-199.54147	445.0206	129.01822	574.0884	-175.85997	-447.7531	70.13651	1841.2826194763184	24.882197583043897
75	7004.9834	51.694363	7069.8813	6942.988	7872.8296	89.558975	8090.4077	7765.2363	1000.0	1000.0	374999	447.3867	129.04535	574.48175	-174.56152	447.3871	129.04301	576.9159	-173.3171	447.3869	129.04303	576.5128	-170.97107	-449.586	69.60073	1866.281622171402	24.883754987716674
76	7122.9155	83.31948	7214.1606	7016.4146	7839.384	107.48332	8026.808	7654.1704	1000.0	1000.0	379999	449.60605	129.02275	578.50714	-171.63277	449.60605	129.0213	579.1234	-187.14967	449.60602	129.0219	578.5936	-171.7323	-452.1325	69.51324	1891.4831042289734	24.887935607056868
77	7034.707	56.58443	7092.788	6926.8936	6818.225	103.86803	7029.176	6684.141	1000.0	1000.0	384999	452.1944	128.7073	575.9802	-193.61519	452.19424	128.70671	578.8406	-179.17204	452.19397	128.70679	578.4355	-199.35034	-454.8573	70.298256	1916.4283201694489	24.888679507490878
78	7057.3545	159.68297	7285.9595	6865.446	7728.5547	110.90881	7928.804	7511.0933	1000.0	1000.0	389999	454.2013	128.65585	580.4643	-170.5538	454.20068	128.65567	583.2124	-161.11877	454.20023	128.65703	584.609	-164.686	-456.27826	68.756065	1941.4150955677032	24.8899371501727
79	7184.6313	48.56697	7240.511	7118.63	7906.0405	75.28902	7987.323	7720.36	1000.0	1000.0	394999	456.65686	128.29736	580.8447	-164.14604	456.6568	128.2953	579.4263	-164.40067	456.6573	128.296	580.6765	-157.42639	-459.16986	67.51403	1966.1603999137878	24.88810635518424
80	7170.282	160.63017	7453.927	6959.035	7798.3257	100.69783	7988.9185	7686.7617	1000.0	1000.0	399999	458.79596	128.29883	580.29285	-170.41751	458.79565	128.29729	583.5088	-170.23	458.7952	128.29805	580.0483	-163.84415	-461.3969	68.5954	1991.253659248352	24.89067076444626
81	7123.1943	53.97753	7202.215	7039.232	8008.5117	60.01117	8106.0317	7902.1187	1000.0	1000.0	404999	460.74173	127.90513	582.7171	-166.08876	460.74176	127.90379	584.7562	-171.56439	460.74173	127.90453	582.16907	-153.28737	-463.0457	69.54457	2016.1702082157135	24.890990251376305
82	7078.9287	192.44951	7267.386	6761.4287	7642.9854	83.43587	7866.2954	7552.0957	1000.0	1000.0	409999	463.1772	127.20752	586.4207	-156.2604	463.1771	127.20655	586.1536	-162.80081	463.1769	127.20682	587.23364	-161.46228	-465.8728	68.645134	2041.279596567154	24.893653639932957
