Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
78	740.202	785.713	3342.4927	17.896013	1938.9059	1152.116	3654.4062	336.95007	199.64	512.6	389999	399.04407	56.771267	537.71844	-264.93576	-401.87457	133.65614	3306.346751689911
79	830.21326	638.7573	2502.2307	48.098923	865.9791	522.2066	2172.4377	358.19214	225.72728	211.2	394999	401.43872	57.706593	541.47174	-311.28256	-404.23083	133.38937	3350.9816892147064
80	628.17694	502.982	2171.881	35.899082	525.7756	1018.6522	3253.6501	19.399626	175.22223	160.1	399999	403.22467	58.4758	544.913	-221.4784	-406.0969	136.95026	3395.3748800754547
81	327.23618	509.84064	2023.2053	2.8398678	2391.846	1561.7899	4488.362	556.9382	99.81132	557.0	404999	406.14346	57.83183	551.774	-282.2356	-408.98044	148.94316	3439.115800142288
82	581.0735	612.0062	2552.668	-5.1120334	1259.704	1057.1849	4305.244	566.29926	151.0	288.3	409999	408.10544	56.937542	556.9796	-309.4877	-410.87955	145.899	3484.5681595802307
83	1168.4814	693.385	2342.7139	314.60822	785.7835	1010.9809	3214.1592	37.942787	281.64706	217.2	414999	409.83423	58.08071	557.0098	-365.08813	-412.65967	143.02057	3529.917817592621
84	792.6249	1321.3983	4291.935	19.267992	2603.6448	1620.6133	4649.942	356.0942	204.96297	611.5	419999	412.14886	59.54579	564.19604	-379.65186	-414.97784	143.79747	3576.9360525608063
85	653.59216	903.6198	3621.9268	10.80586	1470.5522	797.09033	2995.2156	584.67615	170.7931	354.3	424999	414.84106	61.058117	563.4602	-238.10542	-417.63766	155.25276	3622.336572408676
86	948.1645	561.84717	2070.2188	57.917603	986.67615	727.781	2539.0544	199.05185	278.6111	311.5	429999	418.98193	63.107464	590.4871	-253.07068	-421.8443	141.87825	3667.836785554886
87	592.7795	432.11237	1775.4202	142.78268	545.41425	719.6128	2378.7993	16.776077	194.96153	172.8	434999	423.52512	64.64748	595.5816	-282.00143	-426.37015	144.4371	3712.348005771637
88	1430.6733	1086.1185	4194.306	105.96531	623.34393	673.0609	2223.3193	155.72095	372.25	171.5	439999	425.84708	63.57992	596.07355	-475.52155	-428.6018	157.1529	3757.2056097984314
89	278.178	506.4897	3756.714	4.60268	442.21875	94.97721	724.04553	381.36856	103.13207	193.6	444999	434.39966	62.61316	776.97064	-230.6557	-437.6383	190.45337	3802.910651922226
90	207.13875	103.22325	514.55414	97.37114	443.93695	362.64752	1312.534	130.01709	105.020836	173.2	449999	448.75253	66.41561	716.7948	-332.99164	-452.1577	188.14476	3847.3472266197205
91	568.13104	456.7597	2023.394	135.90111	966.7954	673.126	2549.0764	14.342033	187.16667	279.1	454999	456.7797	68.03363	643.93604	-455.61783	-459.9088	176.74318	3892.793100118637
92	942.98865	1197.3746	3878.8035	-7.899957	725.0737	538.4978	1746.8582	220.4603	236.91304	172.8	459999	453.57568	67.09302	636.0197	-376.28168	-456.4425	180.14563	3937.7035603523254
93	559.5136	1076.1078	4267.794	12.601666	1465.5183	174.20267	1765.847	1203.3947	156.2	321.5	464999	449.52148	65.500275	630.64825	-436.98276	-452.3737	176.48543	3983.2103147506714
94	848.9	771.79095	2510.3037	-6.87379	680.6283	353.1359	1282.511	89.31198	231.60869	164.5	469999	447.1179	65.77016	653.75745	-558.8989	-449.95776	175.4389	4027.9032583236694
