Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
59	-10.139282	3.7143896	-2.9072535	-19.320047	-8.674988	3.3928728	-2.4390233	-15.239204	50.0	50.0	294999	-8.732251	3.1157122	11.937654	-27.349081	-8.732334	3.1170065	11.341938	-26.805437	-8.732261	3.117089	10.285549	-27.626245	8.503935	3.0726855	1539.5510261058807	26.09408522056321
60	-9.936239	3.573467	-1.8970664	-19.638329	-7.8768654	2.6115623	-3.7741208	-12.253286	50.0	50.0	299999	-8.700403	3.0957613	13.645138	-28.788359	-8.700562	3.0952795	6.218487	-28.426764	-8.700447	3.0969226	17.23002	-27.73297	8.478831	3.0048878	1565.8837461471558	26.09806246360143
61	-9.983318	3.4694288	-3.3768225	-18.399155	-7.403955	3.0035133	-3.2968912	-13.446646	50.0	50.0	304999	-8.660884	3.094421	9.382923	-29.151468	-8.660786	3.0960126	6.887183	-29.339165	-8.66076	3.094891	6.6484003	-27.791252	8.4258	3.0875065	1592.1998925209045	26.10163761357792
62	-10.3375025	3.9348507	-3.7093465	-18.928705	-9.1525545	4.9057446	-0.8108447	-16.772308	50.0	50.0	309999	-8.635836	3.0959318	11.513692	-27.856668	-8.635809	3.0967968	15.982204	-27.596592	-8.635852	3.0970259	10.378401	-26.898485	8.405046	2.9914746	1618.741112947464	26.10872765510313
63	-9.731948	3.972146	-2.7290108	-19.51919	-6.7255526	3.3174756	-2.2404099	-12.244825	50.0	50.0	314999	-8.694217	3.1824615	11.227485	-31.216648	-8.694149	3.183312	9.856684	-29.562283	-8.693789	3.1833348	9.223441	-28.930794	8.427011	3.1582637	1644.6797878742218	26.10602840923128
64	-10.184781	3.79715	-2.2836366	-19.254948	-6.799465	4.571057	-2.2116551	-17.0241	50.0	50.0	319999	-8.748227	3.3099134	12.864218	-28.008173	-8.748319	3.3099275	10.181005	-28.173204	-8.748278	3.3109517	11.516478	-27.6727	8.500544	3.3004692	1671.0787291526794	26.11060517653823
65	-9.501608	3.5207849	-2.893878	-18.050808	-6.7926993	3.9468913	-2.4058125	-14.721987	50.0	50.0	324999	-8.687616	3.2859075	10.957897	-28.634853	-8.6875	3.2864895	9.138487	-29.77804	-8.687442	3.287066	11.107823	-29.577654	8.439281	3.2254686	1697.143161058426	26.109894818526048
66	-10.623589	3.9608757	-2.6908097	-19.00404	-9.958832	4.1867104	-5.3099174	-17.390133	50.0	50.0	329999	-8.614955	3.2677917	10.415608	-30.62272	-8.614933	3.2696316	13.322157	-30.916893	-8.614834	3.2689078	10.300196	-29.304554	8.393361	3.1509182	1723.0997250080109	26.10757161992969
67	-9.941617	3.923764	-2.5112293	-19.649532	-8.435358	4.5059423	-3.6125684	-16.760405	50.0	50.0	334999	-8.536704	3.2420824	21.62655	-30.760675	-8.536854	3.243723	13.88526	-31.28737	-8.536696	3.2427435	14.894548	-31.082413	8.319401	3.113337	1749.1352314949036	26.106496017370652
68	-10.377808	3.6211946	-3.9495091	-19.105894	-6.72045	4.882816	-2.118692	-16.826551	50.0	50.0	339999	-8.470658	3.191156	9.137655	-27.817045	-8.470821	3.1916645	16.36199	-28.765965	-8.470627	3.19198	9.811116	-28.793955	8.23842	3.0537286	1775.371191740036	26.108399906579187
