Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
78	1419.4047	1024.4102	3066.4475	129.0322	1315.2816	747.6287	3107.4927	747.9026	525.5	450.3	389999	441.7662	93.188446	662.52246	-587.3772	-447.1442	364.46634	1920.4991850852966
79	1117.9341	737.86774	2084.448	28.149096	1031.1725	609.2332	2224.8625	149.00592	457.4	333.7	394999	441.67447	93.823395	659.9518	-374.55734	-447.0835	362.64346	1946.3748466968536
80	1222.753	676.3926	2410.8962	315.526	1737.5768	1010.25854	3008.7373	128.53065	479.2	693.0	399999	443.14178	95.33329	679.41534	-426.11124	-448.4731	363.7561	1972.917664527893
81	1172.171	935.33655	2998.8982	198.78337	689.307	442.3743	1389.7845	94.38683	458.0	287.4	404999	443.5698	94.68656	679.45123	-455.8167	-448.9718	377.3173	1998.0833089351654
82	866.43616	891.66724	3209.3994	99.17698	933.973	534.75104	1994.7521	101.0363	331.57144	338.3	409999	444.3905	94.44462	663.8502	-412.79962	-449.8017	364.67377	2023.3700113296509
83	1027.2964	784.7424	2764.26	71.38573	860.80634	688.58594	1870.4147	7.2748165	375.23077	258.1	414999	447.81403	93.46755	645.1638	-331.6588	-453.3677	371.41006	2048.4452974796295
84	765.12085	718.8571	2250.347	-62.657085	670.45	543.2385	2055.0972	90.0736	362.53333	319.6	419999	452.32858	91.83373	631.5748	-350.91364	-457.9163	380.7399	2073.540614128113
85	678.1943	387.2685	1305.7706	18.429161	1060.6768	889.2046	3342.0354	316.31247	296.70587	441.1	424999	448.8711	91.9748	646.9283	-322.0833	-454.17126	359.80353	2099.8020193576813
86	872.0619	524.5075	1812.1243	168.29918	783.3031	790.19617	3035.3528	200.47154	343.85715	338.1	429999	450.6823	93.43309	672.49744	-353.2393	-456.22214	361.71753	2126.0122520923615
87	417.45456	548.0171	1830.3943	-79.160255	341.1529	385.94144	1069.1995	24.027103	245.14285	327.2	434999	462.48242	98.783844	740.21155	-485.30518	-469.03705	409.3107	2151.972903251648
88	377.85498	371.61804	1089.161	-11.596072	604.0736	519.878	1592.3176	48.012333	357.75	498.6	439999	494.6917	111.18854	772.4301	-559.515	-501.9191	454.0406	2178.619760990143
89	1164.222	519.0545	1715.449	90.70967	632.7577	508.51663	1502.7858	160.43117	822.0	510.6	444999	507.09482	111.43543	772.7566	-583.2317	-513.5131	457.64	2204.982892036438
90	1081.1576	968.4167	2416.4648	39.1375	1148.8079	1118.5612	2855.4155	38.284607	506.27274	464.2	449999	499.27444	102.976326	724.7892	-392.75238	-504.9369	434.6951	2231.308705806732
91	1004.427	867.47046	2953.3699	126.567764	503.37335	503.12402	1439.1694	84.212944	407.33334	311.4	454999	486.55487	97.45708	680.3137	-574.16254	-491.91595	405.4702	2257.1032757759094
92	486.59204	542.14685	1907.6227	-8.893306	803.5861	680.406	2386.7007	78.96879	236.0	279.8	459999	474.99097	93.74218	689.08356	-507.01608	-480.31006	394.79694	2282.5588595867157
93	682.65314	651.1038	2865.8818	-89.04273	1366.6819	953.4451	2958.3032	119.40349	267.21054	531.1	464999	468.30984	92.87185	704.50824	-342.87366	-473.5375	393.9684	2309.3683454990387
94	825.2355	698.287	2207.166	116.42911	1386.1117	1414.8524	3657.8223	20.19961	309.5	426.1	469999	462.93332	93.5673	697.6987	-631.513	-468.2471	374.66232	2335.1955964565277
95	851.0008	453.36276	1771.6104	22.857372	1014.77765	430.29623	1770.7406	472.82513	321.13333	428.8	474999	465.85065	96.882065	711.5006	-451.3049	-471.38846	392.99973	2360.9175601005554
96	1140.8962	538.2448	2406.9426	397.32925	723.0534	606.0153	1941.7216	39.817436	402.76923	281.4	479999	469.3367	99.147804	708.1699	-712.7837	-474.7344	376.99994	2386.0765612125397
97	1589.5349	1095.2135	3659.3733	13.505242	1579.227	672.8077	2543.243	710.36304	602.625	633.6	484999	471.7175	98.64611	669.0054	-476.49667	-477.1734	385.04733	2412.5871317386627
